Benefits,Yoga-Asan
"Positive effects on the musculoskeletal system. It stretches the hamstring and calf muscles in the backs of the legs, and builds strength in the shoulders.",Adho Mukha Shvanasana
"makes your shoulders, wrists and arms strong. It enhances your sense of balance and enables you to get a better balance. The asana enhances the blood circulation in the body. The Handstand Pose calms your nerves and brain, keeps you relaxed",Adho Mukha Vrikshasana
"Back bending will strengthen your back and abdominal muscles and enhance your spine, helping relieve pain.The bow pose stimulates the reproductive organs and helps in improving menstrual disorders.",Akarna Dhanurasana
"Tones and Better Blood Circulation: The practice of Ananthasana (Side Reclining Leg Lift Pose) stretches the muscles of both the upper body and the lower body thereby toning and reducing the excess fat at the tummy, hips, chest, legs, and arms.",Anantasana
"Strengthens the quadriceps, gluteus maximus, and hamstrings.Engages the deep core muscles, which help create stability.Can help alleviate pain cause by sciatica. Opens the hip flexors and strengthens the hip extensors.",Anjaneyasana
"Strengthens ankles, knees and legs.Roots thighbones to help alleviate backpain.Strengthens abdomen, buttocks and spine.Opens chest and shoulders.",Ardha Chandrasana
"It is a great posture and exercise for arm balancing. Increases strength of arms and shoulders, strengthens biceps and triceps.Increases strength of abdomen, knees and chest.Improves stability, flexibility and mobility of the back and spine.Relieves backache.",Ashtanga Namaskara
"Develops nervous control.Reverses the flow of Apana.Directs the energy to Manipura chakra.Strengthens the wrists, leg, and arm muscles.Strengthens the abdominal muscles.",Astavakrasana
"Strengthens and improves flexibility in the inner thighs, groins and the knees.Helps prepare the hips and groins for meditative seated poses, which require more flexibility in these areas.Helps to sooth menstrual discomfort and digestive complaints.",Baddha Konasana/ Bhadrasana
"Arms strengthen, core to help hold you up,glutes and adductors,shoulder stabilizers.It helps make your wrists stronger.Stretches your upper back and groin.Your spine is toned and strengthened.",Bakasana/ Kakasana
The balasana yoga or the asana helps release any tension in the chest. It is also why people trust yoga for better sleep. It relaxes the back and spine and enables people to trust in yoga for good sleep. It alleviates the stress felt by your shoulders and hands.,Balasana
"Practicing Bhairavasana lengthens the spine which stretches the back muscles and makes them supple and flexible.Strengthens the leg muscles, improves digestion, stretches Oblique muscles, soothes the nervous system.",Bhairavasana/ Ankushasana
"Relieves pain and stiffness in the neck, shoulders, and the lower back.Helps keep the spine and shoulders supple.Eases a painful, stiff, sprained, or fused lumbar spine.Reduces discomfort in the dorsal spine area.Increases the flexibility of the back and hips.",Bharadvajasana
"Opens up the hip joints.Provides deep stretch to the legs and muscles therein.Strengthens and stretches the lower back, stretches deep hip flexors.Strengthens the back muscles, provides deep stretch and flexibility to the lower and middle back.",Bhekasana
